ticker	name	sector	market_cap	val_avg_3mo	trailingPE	last	mtd_rtn	mo3_rtn	year_rtn	daily_trend	weekly_trend	monthly_trend	trend_rank	pfh_250	days_since_high_250	breakout	longest_consolidation_window	position	price_extreme	vol_5_day_chng	vol_20_day_chng
1010	Riyad Bank	Banks	9	16	8.8	20.7	4.0%	-7.0%	-1.9%	down:15,12	down:10,9	flat	154	8.0%	320	-	738	39%	-	-4%	-1%
1020	Bank Aljazira	Banks	39	51	11.6	11.8	1.6%	-1.4%	-4.7%	up:1,*	down:267,133	down:4,2	127	12.0%	360	-	169	54%	-	+32%	-24%
1030	Saudi Investment Bank	Banks	37	142	7.8	13.55	1.0%	-1.5%	-5.7%	up:9,7	down:92,88	flat	62	7.0%	363	-	189	57%	-	-52%	-17%
1050	Banque Saudi Fransi	Banks	15	30	10.1	19.46	0.3%	-6.6%	11.6%	up:8,6	up:111,60	flat	21	7.1%	60	-	883	61%	-	+27%	-15%
1060	Saudi Awwal Bank	Banks	10	14	9.5	32.18	-0.6%	-15.0%	-3.8%	down:47,2	flat	down:209,151	184	17.7%	60	-	531	23%	-	-15%	-29%
1080	Arab National Bank	Banks	18	40	8.3	20.79	0.2%	-7.8%	-1.7%	down:12,2	down:50,2	up:372,182	92	24.9%	182	-	163	27%	-	+76%	-56%
1111	Saudi Tadawul Group Holding Co.	Financial Services	34	34	42.3	125.7	-5.0%	-15.4%	-25.1%	down:19,*	down:152,*	down:58,*	232	69.1%	563	4-Year Low	-	-	red	+102%	-24%
1120	Al Rajhi Bank	Banks	2	1	17.8	64.45	-2.2%	-11.5%	2.3%	down:46,1	flat	up:624,175	49	13.8%	175	-	201	8%	-	+11%	-44%
1140	Bank Albilad	Banks	19	27	13.5	24.24	-0.6%	-11.7%	-7.1%	down:15,6	down:325,268	down:225,6	247	23.8%	590	-	-	-	red	-19%	-24%
1150	Alinma Bank	Banks	11	6	12.1	24.2	-1.0%	-4.6%	12.4%	flat	up:66,61	up:21,17	11	5.2%	61	-	-	-	-	+1%	-41%
1180	The Saudi National Bank	Banks	3	3	10.5	38.14	-1.4%	-10.2%	2.6%	down:14,2	flat	up:77,62	47	18.0%	110	-	-	-	-	+22%	-32%
1182	Amlak International Finance Co.	Financial Services	174	185	15.6	8.6	-2.9%	-14.8%	-27.3%	down:41,4	down:151,4	down:497,4	208	61.2%	174	-	-	-	red,red	+8%	+17%
1183	SHL Finance Co.	Financial Services	145	229	28.4	15.05	0.6%	0.1%	-36.5%	down:17,6	down:120,87	down:52,6	213	58.6%	246	-	-	-	-	+855%	+107%
1201	Takween Advanced Industries Co.	Materials	240	230	-	4.65	-9.0%	-16.8%	-42.9%	down:18,*	down:534,*	down:906,*	268	78.3%	1248	All-Time Low	-	-	red	-41%	+20%
1202	Middle East Paper Co.	Materials	144	74	-	16.81	-6.2%	-6.5%	-43.0%	down:16,1	down:378,87	down:134,87	242	75.5%	576	-	-	-	-	-31%	-46%
1210	Basic Chemical Industries Co.	Materials	202	258	38.7	23.31	-3.8%	-10.0%	-13.2%	down:39,*	down:161,88	down:437,88	265	24.4%	1197	-	-	-	red	-3%	+9%
1211	Saudi Arabian Mining Co.	Materials	4	5	28.8	56.15	-5.5%	-21.4%	3.0%	down:54,*	flat	up:1313,112	48	41.6%	112	-	-	-	red	-16%	-60%
1212	Astra Industrial Group	Capital Goods	45	102	18.3	127.4	-3.2%	-12.5%	-14.5%	down:48,1	down:48,1	flat	164	21.7%	374	-	300	6%	red	-27%	-42%
1213	Naseej International Trading Co.	Consumer Durables & Apparel	260	98	-	24.48	-23.2%	-11.6%	-75.7%	up:13,12	down:174,89	down:68,28	126	333.0%	352	-	-	-	-	-54%	+264%
1214	Al Hassan Ghazi Ibrahim Shaker Co.	Capital Goods	163	143	13.1	13.27	-4.6%	-19.6%	-53.6%	down:55,*	down:272,*	down:89,*	236	115.7%	573	6-Year Low	-	-	red,red	-53%	+9%
1301	United Wire Factories Co.	Materials	221	246	82.5	16.44	-3.4%	-9.5%	-31.8%	down:2,1	down:171,88	down:291,88	239	57.2%	574	-	-	-	-	-52%	+14%
1302	Bawan Co.	Capital Goods	110	105	12.8	38.5	-4.5%	-15.8%	-29.7%	down:21,2	down:109,2	flat	161	60.0%	367	-	-	-	red,red	-8%	-1%
1303	Electrical Industries Co.	Capital Goods	29	15	29.3	13.84	-4.1%	-27.5%	58.2%	down:25,*	up:290,59	up:848,59	24	38.2%	58	-	-	-	-	+30%	+22%
1304	Al Yamamah Steel Industries Co.	Materials	139	65	38.7	39.9	-5.0%	2.3%	15.9%	up:22,9	up:119,9	up:547,9	4	7.8%	9	-	608	79%	-	-36%	+52%
1320	Saudi Steel Pipe Co.	Materials	129	58	12.3	49.36	-2.2%	-9.8%	-10.4%	down:2,*	flat	flat	107	20.6%	577	-	-	-	-	-64%	-9%
1321	East Pipes Integrated Company for Industry	Materials	87	24	9.6	223.0	1.4%	19.4%	87.1%	up:75,5	up:143,5	up:98,5	2	1.8%	5	-	-	-	-	-46%	-41%
1322	Almasane Alkobra Mining Co.	Materials	57	42	22.5	68.0	-4.5%	-23.7%	2.0%	down:78,2	flat	up:68,61	45	71.8%	109	-	-	-	red,red	-29%	-75%
1323	United Carton Industries Co.	Materials	175	187	12.4	25.08	-1.3%	-2.5%	-29.0%	up:26,7	down:33,28	flat	61	40.8%	281	-	-	-	-	-62%	+32%
1324	Saleh Abdulaziz Al Rashed and Sons Co.	Materials	173	44	-	40.82	-5.0%	-29.5%	-	down:33,*	-	-	95	68.3%	71	All-Time Low	-	-	-	-35%	-19%
1810	Seera Group Holding	Consumer Services	73	101	-	21.74	3.2%	-5.4%	-15.3%	flat	down:84,79	flat	110	45.0%	184	-	91	49%	-	+17%	-15%
