ticker	name	sector	market_cap	val_avg_3mo	trailingPE	last	mtd_rtn	mo3_rtn	year_rtn	daily_trend	weekly_trend	monthly_trend	trend_rank	pfh_250	days_since_high_250	breakout	longest_consolidation_window	position	price_extreme	vol_5_day_chng	vol_20_day_chng
1050	Banque Saudi Fransi	Banks	15	30	10.1	19.46	0.3%	-6.6%	11.6%	up:8,6	up:111,60	flat	21	7.1%	60	-	883	61%	-	+27%	-15%
2040	Saudi Ceramic Co.	Capital Goods	108	141	15.8	24.99	-6.4%	-15.6%	-25.8%	down:33,1	down:31,1	down:342,1	228	34.8%	542	-	842	13%	red,red	+70%	-26%
1010	Riyad Bank	Banks	9	16	8.8	20.7	4.0%	-7.0%	-1.9%	down:15,12	down:10,9	flat	154	8.0%	320	-	738	39%	-	-4%	-1%
2190	Sustained Infrastructure Holding Co.	Transportation	111	71	33.3	36.2	7.3%	12.1%	3.2%	up:4,3	up:41,30	up:70,30	6	4.3%	30	-	648	74%	-	+27%	-48%
1304	Al Yamamah Steel Industries Co.	Materials	139	65	38.7	39.9	-5.0%	2.3%	15.9%	up:22,9	up:119,9	up:547,9	4	7.8%	9	-	608	79%	-	-36%	+52%
8010	The Company for Cooperative Insurance	Insurance	27	28	17.5	137.3	-6.7%	4.4%	-6.1%	flat	up:28,20	up:28,20	9	16.8%	20	-	581	43%	-	-16%	-44%
7040	Etihad GO Telecom Co.	Telecommunication Services	106	64	12.1	86.45	-3.1%	-7.6%	-11.7%	down:12,2	down:12,2	up:765,553	94	30.2%	553	-	581	13%	-	-47%	-33%
4349	Alinma Hospitality REIT Fund	REITs	186	234	16.6	8.12	-1.9%	-1.8%	0.9%	down:1,*	flat	flat	108	3.2%	629	-	566	23%	-	-75%	+182%
4140	Saudi Industrial Export Co.	Capital Goods	231	123	-	2.35	-2.5%	-0.8%	10.3%	flat	up:65,9	down:678,151	67	26.8%	121	-	554	44%	-	-4%	+189%
4200	Aldrees Petroleum and Transport Services Co.	Consumer Discretionary Distribution & Retail	42	37	31.1	111.9	-1.8%	-12.6%	-12.4%	down:17,1	down:121,1	flat	178	37.0%	587	1-Year Low	550	17%	red,red	+33%	-37%
1060	Saudi Awwal Bank	Banks	10	14	9.5	32.18	-0.6%	-15.0%	-3.8%	down:47,2	flat	down:209,151	184	17.7%	60	-	531	23%	-	-15%	-29%
4342	Jadwa REIT Saudi Fund	REITs	132	210	37.0	10.61	-2.7%	-6.4%	4.8%	down:24,3	flat	down:459,330	185	10.3%	90	-	458	41%	-	-50%	+74%
