scrape_date,symbol,contract,last_price,change,open_price,high,low,previous,volume,open_interest,updated_time
2026-05-05,GEM26,Jun 26,96.77,0.0,96.77,96.77,96.77,,0,,04/17/23
2026-05-05,GEU26,Sep 26,96.75,0.0,96.75,96.75,96.75,,0,,04/17/23
2026-05-05,GEZ26,Dec 26,96.74,0.0,96.74,96.74,96.74,,0,,04/17/23
2026-05-05,GEH27,Mar 27,96.715,0.0,96.715,96.715,96.715,,0,,04/17/23
2026-05-05,GEM27,Jun 27,96.695,0.0,96.695,96.695,96.695,,0,,04/17/23
2026-05-05,GEU27,Sep 27,96.655,0.0,96.655,96.655,96.655,,0,,04/17/23
2026-05-05,GEZ27,Dec 27,96.63,0.0,96.63,96.63,96.63,,0,,04/17/23
2026-05-05,GEH28,Mar 28,96.61,0.0,96.61,96.61,96.61,,0,,04/17/23
2026-05-05,GEM28,Jun 28,96.58,0.0,96.58,96.58,96.58,,0,,04/17/23
2026-05-05,GEU28,Sep 28,96.55,0.0,96.55,96.55,96.55,,0,,04/17/23
2026-05-05,GEZ28,Dec 28,96.515,0.0,96.515,96.515,96.515,,0,,04/17/23
2026-05-05,GEH29,Mar 29,96.495,0.0,96.495,96.495,96.495,,0,,04/17/23
2026-05-05,GEM29,Jun 29,96.47,0.0,96.47,96.47,96.47,,0,,04/17/23
2026-05-05,GEU29,Sep 29,96.44,0.0,96.44,96.44,96.44,,0,,04/17/23
2026-05-05,GEZ29,Dec 29,96.42,0.0,96.42,96.42,96.42,,0,,04/17/23
2026-05-05,GEH30,Mar 30,96.41,0.0,96.41,96.41,96.41,,0,,04/17/23
2026-05-05,GEM30,Jun 30,96.395,0.0,96.395,96.395,96.395,,0,,04/17/23
2026-05-05,GEU30,Sep 30,96.375,0.0,96.375,96.375,96.375,,0,,04/17/23
2026-05-05,GEZ30,Dec 30,96.36,0.0,96.36,96.36,96.36,,0,,04/17/23
2026-05-05,GEH31,Mar 31,96.355,0.0,96.355,96.355,96.355,,0,,04/17/23
2026-05-05,GEM31,Jun 31,96.34,0.0,96.34,96.34,96.34,,0,,04/17/23
2026-05-05,GEU31,Sep 31,96.325,0.0,96.325,96.325,96.325,,0,,04/17/23
2026-05-05,GEZ31,Dec 31,96.315,0.0,96.315,96.315,96.315,,0,,04/17/23
2026-05-05,GEH32,Mar 32,96.305,0.0,96.305,96.305,96.305,,0,,04/17/23
2026-05-05,GEM32,Jun 32,96.295,0.0,96.295,96.295,96.295,,0,,04/17/23
2026-05-05,GEU32,Sep 32,96.27,0.0,96.27,96.27,96.27,,0,,04/17/23
2026-05-05,GEZ32,Dec 32,96.26,0.0,96.26,96.26,96.26,,0,,04/17/23
