Date,Open,High,Low,Close,Volume Traded,Value Traded,No. of Trades
2026-06-30,24.6,24.65,24.42,24.44,3347710.0,81950457.98,5584.0
2026-06-29,24.83,24.84,24.53,24.6,2966876.0,73154939.56,6298.0
2026-06-28,24.99,24.99,24.74,24.83,2066357.0,51330324.03,5534.0
2026-06-25,25.1,25.12,24.86,24.99,4018548.0,100451348.99,5662.0
2026-06-24,25.22,25.28,25.12,25.12,2892651.0,72858159.36,4263.0
2026-06-23,25.16,25.34,25.08,25.2,3638826.0,91818218.74,5103.0
2026-06-22,25.12,25.2,25.04,25.16,2326348.0,58449038.14,4322.0
2026-06-21,25.12,25.26,25.12,25.14,2402469.0,60470137.38,4564.0
2026-06-18,25.22,25.32,25.2,25.2,3904486.0,98506851.08,4131.0
2026-06-17,25.3,25.32,25.18,25.2,3212986.0,81070818.24,4924.0
2026-06-16,25.16,25.38,25.12,25.3,5816337.0,147062570.96,5462.0
2026-06-15,25.12,25.24,24.86,25.08,8272659.0,207649236.27,10924.0
2026-06-14,24.87,25.2,24.87,25.1,5085234.0,127539210.64,7376.0
2026-06-11,24.63,24.79,24.55,24.79,5251612.0,129730889.38,6141.0
2026-06-10,24.82,24.88,24.63,24.63,6738970.0,167055413.81,8042.0
2026-06-09,24.5,24.9,24.5,24.83,9246510.0,229437577.28,11454.0
2026-06-08,24.06,24.59,24.0,24.44,8626911.0,209975024.02,8595.0
2026-06-07,24.0,24.1,23.95,24.07,4821016.0,115869635.29,5783.0
2026-06-04,24.01,24.1,23.97,24.04,2989766.0,71857391.31,5221.0
2026-06-03,23.92,24.1,23.92,24.01,3344067.0,80358769.68,5957.0
2026-06-02,23.87,24.1,23.87,23.97,3278328.0,78731558.97,5906.0
2026-06-01,24.03,24.08,23.8,23.87,6327944.0,151382671.97,11443.0
2026-05-31,24.0,24.14,23.91,24.05,2130619.0,51232337.16,6664.0
2026-05-21,23.9,24.08,23.86,24.0,7248102.0,173876424.13,8342.0
2026-05-20,23.68,23.93,23.65,23.86,6317273.0,150504249.48,13550.0
2026-05-19,23.6,23.7,23.57,23.63,4654579.0,110001725.08,6838.0
2026-05-18,23.58,23.64,23.51,23.6,3263806.0,76909094.42,8103.0
2026-05-17,23.56,23.67,23.52,23.6,2687501.0,63339330.93,5578.0
2026-05-14,23.61,23.8,23.56,23.56,3022715.0,71467586.41,6416.0
2026-05-13,23.53,23.69,23.53,23.61,3084591.0,72899327.45,5685.0
2026-05-12,23.75,23.83,23.52,23.52,5214157.0,123199261.29,10691.0
2026-05-11,23.75,23.85,23.56,23.75,4269104.0,101291646.86,8077.0
2026-05-10,23.53,23.99,23.5,23.78,3848275.0,91421164.95,7560.0
2026-05-07,23.6,23.62,23.5,23.53,4274236.0,100639592.0,9069.0
2026-05-06,23.74,23.91,23.71,23.71,6406829.0,152391316.88,9830.0
2026-05-05,24.04,24.04,23.7,23.72,5193661.0,123714402.17,11519.0
2026-05-04,24.44,24.44,24.04,24.04,5047187.0,122186627.65,9501.0
2026-05-03,24.3,24.46,24.22,24.39,2217293.0,54019099.45,6244.0
2026-04-30,24.62,24.64,24.3,24.32,5131125.0,125293594.05,11102.0
2026-04-29,24.68,24.75,24.56,24.61,5081022.0,125253983.93,8242.0
2026-04-28,24.39,24.71,24.37,24.68,4933639.0,121444861.87,7442.0
2026-04-27,24.51,24.55,24.26,24.36,5699131.0,139363271.37,10751.0
2026-04-26,24.2,24.5,23.96,24.5,4998837.0,120820992.86,9914.0
2026-04-23,24.22,24.42,24.05,24.2,7277295.0,176576502.75,13000.0
2026-04-22,24.68,24.78,24.45,24.54,6485910.0,159584051.85,14096.0
2026-04-21,24.72,24.97,24.62,24.65,7442762.0,184068371.9,8310.0
2026-04-20,24.9,24.95,24.67,24.72,5173630.0,128137626.48,6245.0
2026-04-19,25.17,25.25,24.88,24.93,3537661.0,88532908.2,5647.0
2026-04-16,25.48,25.5,25.22,25.37,4187110.0,106136229.66,7031.0
2026-04-15,24.92,25.53,24.92,25.47,9855245.0,249226667.42,11382.0
2026-04-14,24.75,25.0,24.75,24.95,6700231.0,166811424.34,7933.0
2026-04-13,24.48,24.83,24.48,24.83,7508402.0,185631164.08,8424.0
2026-04-12,24.45,24.62,24.45,24.5,2316464.0,56827323.02,3362.0
2026-04-09,24.52,24.78,24.37,24.67,5784191.0,142472002.66,6934.0
2026-04-08,24.4,24.75,24.4,24.57,7604454.0,186640166.16,6966.0
2026-04-07,24.25,24.27,24.0,24.02,6259950.0,151010150.56,9429.0
2026-04-06,24.17,24.3,24.13,24.27,4902090.0,118674338.02,5978.0
2026-04-05,24.17,24.28,24.12,24.17,3677167.0,89033746.8,5544.0
2026-04-02,24.17,24.23,24.12,24.22,4537000.0,109673210.44,7721.0
2026-04-01,24.17,24.2,24.08,24.17,4908109.0,118488379.92,8246.0
2026-03-31,23.9,24.27,23.87,24.05,8664674.0,208744115.02,9074.0
2026-03-30,23.85,23.97,23.8,23.88,4980277.0,119098876.4,5821.0
2026-03-29,23.92,23.98,23.77,23.83,2796436.0,66764275.92,4562.0
2026-03-26,24.12,24.15,23.92,23.95,5056861.0,121350302.24,6431.0
2026-03-25,23.52,24.13,23.43,24.12,9908855.0,236639932.68,8642.0
2026-03-24,23.5,23.58,23.07,23.3,9875969.0,230564845.8,9166.0
2026-03-16,23.23,23.48,23.02,23.4,6673259.0,155416305.84,6159.0
2026-03-15,23.7,23.72,22.93,23.23,6946304.0,160861423.5,6559.0
2026-03-12,23.87,23.92,23.52,23.68,6026783.0,142667332.08,6054.0
2026-03-11,23.83,24.0,23.7,23.88,5432556.0,129594014.5,5029.0
2026-03-10,23.33,23.87,23.32,23.87,5648970.0,134113541.9,5559.0
2026-03-09,23.68,23.68,23.23,23.45,6666996.0,156290145.26,7324.0
2026-03-08,23.4,23.78,23.4,23.68,5007857.0,118451762.56,5135.0
2026-03-05,23.33,23.83,23.33,23.57,6792922.0,160240827.02,6979.0
2026-03-04,22.72,23.48,22.68,23.33,13361298.0,310074266.28,8525.0
2026-03-03,22.4,22.83,22.38,22.8,6290585.0,142657827.26,5773.0
2026-03-02,22.4,22.93,22.22,22.5,9307928.0,209638293.98,9356.0
2026-03-01,22.08,22.7,22.08,22.4,11401388.0,255853640.4,10887.0
2026-02-26,23.17,23.32,23.1,23.32,4755257.0,110581601.2,5104.0
2026-02-25,23.15,23.33,23.0,23.28,5802512.0,134760755.1,6242.0
2026-02-24,23.35,23.55,23.12,23.25,6693518.0,155745100.62,8723.0
2026-02-23,23.33,23.7,23.25,23.48,7680275.0,180194868.96,15678.0
2026-02-19,24.05,24.05,23.35,23.37,6644790.0,156608365.6,6479.0
2026-02-18,23.58,24.15,23.55,24.08,3110873.0,74574188.82,4961.0
2026-02-17,24.0,24.0,23.52,23.62,6823939.0,161712622.54,6709.0
2026-02-16,24.17,24.18,23.95,24.0,3667583.0,88185151.28,4867.0
2026-02-15,24.33,24.35,23.88,24.2,6325609.0,152522463.28,7020.0
2026-02-12,23.93,24.38,23.88,24.38,14103694.0,341989758.08,8319.0
2026-02-11,23.92,24.03,23.8,23.97,6913318.0,165368390.5,5532.0
2026-02-10,23.83,23.92,23.67,23.92,6442124.0,153543923.94,5598.0
2026-02-09,23.55,23.83,23.37,23.83,8496250.0,200379908.62,7561.0
2026-02-08,23.78,23.92,23.5,23.53,6720340.0,159385332.1,8226.0
2026-02-05,23.75,23.78,23.6,23.78,6938239.0,164473064.16,6865.0
2026-02-04,23.48,23.85,23.38,23.8,9418201.0,223116605.9,7680.0
2026-02-03,23.5,23.7,23.33,23.47,7435567.0,175109495.44,9450.0
2026-02-02,22.75,23.5,22.72,23.5,8492207.0,196906774.96,10436.0
2026-02-01,23.77,23.77,22.72,22.83,13904339.0,320768575.7,16001.0
2026-01-29,23.55,23.77,23.43,23.73,12093617.0,285823054.62,12035.0
2026-01-28,23.33,23.68,23.3,23.55,20009644.0,469353983.42,19607.0
2026-01-27,22.73,22.82,22.63,22.82,8675220.0,197100536.34,8849.0
2026-01-27,22.73,22.82,22.63,22.82,8675220.0,197100536.34,8849.0
2026-01-26,22.8,22.82,22.4,22.65,6476262.0,146490348.22,8079.0
2026-01-25,22.73,22.92,22.67,22.85,8583546.0,195434789.2,9504.0
2026-01-22,22.27,22.75,22.22,22.75,10871974.0,244679550.04,10830.0
2026-01-21,22.2,22.25,22.12,22.25,2974320.0,66025471.52,3991.0
2026-01-20,22.23,22.32,22.15,22.23,6827231.0,151749903.24,6608.0
2026-01-19,22.25,22.3,22.05,22.23,6521706.0,144746529.18,9817.0
2026-01-18,21.9,22.27,21.9,22.25,6883817.0,152692493.34,6876.0
2026-01-15,22.08,22.2,21.75,21.85,9772592.0,214098076.94,13315.0
2026-01-14,21.67,22.33,21.57,22.25,19048267.0,420022748.16,21667.0
2026-01-13,21.6,21.67,21.43,21.67,11735603.0,253468688.74,11554.0
2026-01-12,21.17,21.67,21.13,21.67,9192820.0,196690955.12,9085.0
2026-01-11,21.07,21.3,21.0,21.17,4403234.0,93268409.18,6031.0
2026-01-08,20.75,21.17,20.48,20.98,11541348.0,241230118.56,10355.0
2026-01-07,20.92,20.93,20.42,20.75,13494026.0,278476827.24,14890.0
2026-01-06,20.25,20.27,20.04,20.1,5286430.0,106373224.4,7762.0
2026-01-05,20.26,20.36,20.14,20.14,4488488.0,90802182.7,6848.0
2026-01-04,20.51,20.51,20.18,20.24,3910219.0,79177038.8,6945.0
2026-01-01,20.33,20.53,20.33,20.51,1610992.0,32958846.88,3643.0
2025-12-31,20.14,20.33,20.13,20.32,2656405.0,53791152.02,3758.0
2025-12-30,20.28,20.28,20.02,20.05,5346222.0,107675310.2,9235.0
2025-12-29,20.23,20.28,20.17,20.28,4779625.0,96655496.72,6707.0
2025-12-28,20.34,20.37,20.18,20.23,2644187.0,53511001.4,5821.0
2025-12-25,20.42,20.42,20.32,20.34,1294876.0,26370846.93,3249.0
2025-12-24,20.54,20.54,20.38,20.42,4236050.0,86633092.56,5341.0
2025-12-23,20.33,20.59,20.31,20.54,4737436.0,97079930.21,5136.0
2025-12-22,20.2,20.33,20.11,20.33,4688342.0,94854665.3,5135.0
2025-12-21,20.17,20.4,20.17,20.18,2988481.0,60569444.5,4872.0
2025-12-18,20.27,20.33,20.13,20.17,8470630.0,170999865.81,7159.0
2025-12-17,20.42,20.43,20.18,20.25,4527156.0,91844730.67,7228.0
2025-12-16,20.59,20.63,20.4,20.42,3283448.0,67227129.83,5475.0
2025-12-15,20.43,20.6,20.35,20.6,3366376.0,68946480.78,6408.0
2025-12-14,20.63,20.63,20.45,20.58,2563284.0,52683430.35,4448.0
2025-12-11,20.54,20.63,20.5,20.63,5501765.0,113145902.07,3900.0
2025-12-10,20.63,20.7,20.5,20.52,3982824.0,82017485.58,6047.0
2025-12-09,20.3,20.62,20.3,20.62,5224076.0,107025683.57,5869.0
2025-12-08,20.29,20.35,20.22,20.34,4656322.0,94541537.98,7018.0
2025-12-07,20.27,20.34,20.22,20.27,2596555.0,52615456.07,6174.0
2025-12-04,20.23,20.43,20.21,20.27,6785748.0,137828002.89,10815.0
2025-12-03,20.18,20.23,20.03,20.23,6481619.0,130314578.56,8850.0
2025-12-02,20.24,20.24,20.1,20.18,6552521.0,132179363.06,8198.0
2025-12-01,20.25,20.29,20.14,20.24,4563098.0,92221400.69,7567.0
2025-11-30,20.18,20.27,20.09,20.24,2876562.0,58095126.27,7127.0
2025-11-27,20.17,20.28,20.14,20.18,4561835.0,92204632.02,9345.0
2025-11-26,20.33,20.37,19.95,20.08,9258667.0,185903241.26,23782.0
2025-11-25,20.42,20.53,20.24,20.33,4754236.0,96992728.85,9371.0
2025-11-24,20.67,20.73,20.37,20.37,13916840.0,284469835.95,9118.0
