symbol,date,open,high,low,close,change,change_percent,volume_traded,value_traded_sar,no_of_trades
1831,2026-07-05,5.02,5.03,4.94,4.94,-0.08,-1.59,2013797.0,9992839.6,2078.0
1831,2026-07-02,5.11,5.16,5.0,5.02,-0.18,-3.46,3426830.0,17279268.89,4317.0
1831,2026-07-01,5.05,5.2,5.03,5.2,0.15,2.97,1936220.0,9893694.05,1661.0
1831,2026-06-30,5.29,5.29,4.97,5.05,0.01,0.2,1884780.0,9515329.81,2468.0
1831,2026-06-29,5.1,5.1,5.01,5.04,-0.05,-0.98,1127938.0,5678534.38,1254.0
1831,2026-06-28,5.18,5.18,5.04,5.09,-0.09,-1.74,1130557.0,5764160.06,1275.0
1831,2026-06-25,5.23,5.23,5.16,5.18,-0.05,-0.96,1510489.0,7835118.03,1191.0
1831,2026-06-24,5.18,5.23,5.17,5.23,0.03,0.58,3197356.0,16703479.32,2693.0
1831,2026-06-23,5.23,5.23,5.14,5.2,-0.03,-0.57,2133873.0,11095251.48,1609.0
1831,2026-06-22,5.19,5.23,5.15,5.23,0.04,0.77,1863806.0,9705306.99,1427.0
1831,2026-06-21,5.21,5.23,5.14,5.19,-0.02,-0.38,1825420.0,9492069.36,1075.0
1831,2026-06-18,5.22,5.24,5.19,5.21,-0.03,-0.57,2137156.0,11133815.08,1520.0
1831,2026-06-17,5.2,5.3,5.2,5.24,0.03,0.58,3885493.0,20386342.9,2469.0
1831,2026-06-16,5.18,5.23,5.16,5.21,0.03,0.58,2086996.0,10829650.52,1684.0
1831,2026-06-15,5.17,5.21,5.13,5.18,0.01,0.19,1576746.0,8141785.59,1162.0
1831,2026-06-14,5.21,5.26,5.17,5.17,-0.04,-0.77,1330710.0,6926828.48,1038.0
1831,2026-06-11,5.17,5.21,5.15,5.21,0.04,0.77,2036010.0,10538463.0,2234.0
1831,2026-06-10,5.23,5.26,5.15,5.17,-0.06,-1.15,2778832.0,14454373.22,1890.0
1831,2026-06-09,5.22,5.25,5.19,5.23,0.01,0.19,1812820.0,9461304.79,1737.0
1831,2026-06-08,5.0,5.23,5.0,5.22,0.2,3.98,3434227.0,17599363.56,2727.0
1831,2026-06-07,5.12,5.12,4.99,5.02,-0.11,-2.14,2450625.0,12338440.87,1902.0
1831,2026-06-04,5.21,5.21,5.1,5.13,-0.08,-1.54,2794169.0,14366006.41,2672.0
1831,2026-06-03,5.21,5.23,5.17,5.21,0.0,0.0,2484778.0,12891755.34,2579.0
1831,2026-06-02,5.31,5.31,5.2,5.21,-0.1,-1.88,3024435.0,15809810.84,2564.0
1831,2026-06-01,5.25,5.35,5.18,5.31,0.06,1.14,4122343.0,21763603.49,2842.0
1831,2026-05-31,5.26,5.3,5.18,5.25,-0.01,-0.19,1522632.0,7989817.38,1330.0
1831,2026-05-21,5.22,5.29,5.16,5.26,0.01,0.19,2764175.0,14490478.97,2588.0
1831,2026-05-20,5.19,5.27,5.13,5.25,0.06,1.16,3301995.0,17209192.43,3518.0
1831,2026-05-19,5.1,5.22,5.09,5.19,0.06,1.17,5411150.0,28053722.42,3062.0
1831,2026-05-18,5.13,5.18,5.04,5.13,-0.02,-0.39,5789022.0,29601223.72,3483.0
1831,2026-05-17,5.32,5.33,5.15,5.15,-0.17,-3.2,4550400.0,23788232.61,3295.0
1831,2026-05-14,4.98,5.43,4.96,5.32,0.37,7.47,30612650.0,162476885.59,12754.0
